nohup: ignoring input
/opt/conda/envs/hncgat/lib/python3.9/site-packages/torch/torch_version.py:3: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import packaging  # type: ignore[attr-defined]
Namespace(gpu=0, n_epochs=1000, lr=0.005, lamb=1, hid_dim=64, dropout=0.5, temperature=0.1, edgetype='concat', use_weighted_loss=True, weight_attention=True, weight_temperature=0.8)
1-th random split with training ratio 0.900000
Epoch 680 | Loss 6.6537 | TrainAUC 0.9896 | testAUC_ROC 0.9694 |  testAUCpr 0.8468 
Epoch 690 | Loss 6.6367 | TrainAUC 0.9899 | testAUC_ROC 0.9709 |  testAUCpr 0.8534 
Epoch 700 | Loss 6.6138 | TrainAUC 0.9899 | testAUC_ROC 0.9709 |  testAUCpr 0.8486 
Epoch 700 - Average weights - PM:0.304, PP:0.182, PF:0.513
Epoch 710 | Loss 6.6672 | TrainAUC 0.9896 | testAUC_ROC 0.9711 |  testAUCpr 0.8532 
Epoch 720 | Loss 6.6157 | TrainAUC 0.9906 | testAUC_ROC 0.9713 |  testAUCpr 0.8543 
Epoch 730 | Loss 6.5906 | TrainAUC 0.9905 | testAUC_ROC 0.9708 |  testAUCpr 0.8513 
Epoch 740 | Loss 6.5978 | TrainAUC 0.9905 | testAUC_ROC 0.9719 |  testAUCpr 0.8592 
Epoch 750 | Loss 6.5690 | TrainAUC 0.9905 | testAUC_ROC 0.9720 |  testAUCpr 0.8609 
Epoch 760 | Loss 6.5719 | TrainAUC 0.9907 | testAUC_ROC 0.9720 |  testAUCpr 0.8613 
Epoch 770 | Loss 6.5472 | TrainAUC 0.9909 | testAUC_ROC 0.9716 |  testAUCpr 0.8551 
Epoch 780 | Loss 6.5653 | TrainAUC 0.9906 | testAUC_ROC 0.9729 |  testAUCpr 0.8647 
Epoch 790 | Loss 6.5946 | TrainAUC 0.9898 | testAUC_ROC 0.9736 |  testAUCpr 0.8692 
Epoch 800 | Loss 6.5609 | TrainAUC 0.9907 | testAUC_ROC 0.9722 |  testAUCpr 0.8616 
Epoch 800 - Average weights - PM:0.304, PP:0.182, PF:0.514
Epoch 810 | Loss 6.5392 | TrainAUC 0.9913 | testAUC_ROC 0.9730 |  testAUCpr 0.8639 
Epoch 820 | Loss 6.5350 | TrainAUC 0.9912 | testAUC_ROC 0.9722 |  testAUCpr 0.8630 
Epoch 830 | Loss 6.5262 | TrainAUC 0.9911 | testAUC_ROC 0.9728 |  testAUCpr 0.8674 
Epoch 840 | Loss 6.5131 | TrainAUC 0.9914 | testAUC_ROC 0.9726 |  testAUCpr 0.8680 
Epoch 850 | Loss 6.5497 | TrainAUC 0.9912 | testAUC_ROC 0.9734 |  testAUCpr 0.8663 
Epoch 860 | Loss 6.5061 | TrainAUC 0.9914 | testAUC_ROC 0.9743 |  testAUCpr 0.8762 
Epoch 870 | Loss 6.4914 | TrainAUC 0.9918 | testAUC_ROC 0.9738 |  testAUCpr 0.8734 
Epoch 880 | Loss 6.4977 | TrainAUC 0.9912 | testAUC_ROC 0.9748 |  testAUCpr 0.8742 
Epoch 890 | Loss 6.4739 | TrainAUC 0.9919 | testAUC_ROC 0.9741 |  testAUCpr 0.8706 
Epoch 900 | Loss 6.4862 | TrainAUC 0.9916 | testAUC_ROC 0.9754 |  testAUCpr 0.8776 
Epoch 900 - Average weights - PM:0.328, PP:0.183, PF:0.489
Epoch 910 | Loss 6.4900 | TrainAUC 0.9919 | testAUC_ROC 0.9746 |  testAUCpr 0.8749 
Epoch 920 | Loss 6.4820 | TrainAUC 0.9920 | testAUC_ROC 0.9753 |  testAUCpr 0.8744 
Epoch 930 | Loss 6.4430 | TrainAUC 0.9919 | testAUC_ROC 0.9754 |  testAUCpr 0.8789 
Epoch 940 | Loss 6.4636 | TrainAUC 0.9917 | testAUC_ROC 0.9753 |  testAUCpr 0.8781 
Epoch 950 | Loss 6.4725 | TrainAUC 0.9919 | testAUC_ROC 0.9750 |  testAUCpr 0.8780 
Epoch 960 | Loss 6.4340 | TrainAUC 0.9921 | testAUC_ROC 0.9755 |  testAUCpr 0.8802 
Epoch 970 | Loss 6.4320 | TrainAUC 0.9922 | testAUC_ROC 0.9755 |  testAUCpr 0.8814 
Epoch 980 | Loss 6.4096 | TrainAUC 0.9926 | testAUC_ROC 0.9755 |  testAUCpr 0.8805 
Epoch 990 | Loss 6.4198 | TrainAUC 0.9924 | testAUC_ROC 0.9743 |  testAUCpr 0.8786 
Epoch 1000 | Loss 6.4211 | TrainAUC 0.9922 | testAUC_ROC 0.9751 |  testAUCpr 0.8800 
Load model result: Epoch 957 testAUC_ROC 0.9767 |  testAUCpr 0.8838 
2-th random split with training ratio 0.900000
Epoch 001 | Loss 17.1671 | TrainAUC 0.5355 | testAUC_ROC 0.4800 |  testAUCpr 0.0859 
Epoch 010 | Loss 11.9395 | TrainAUC 0.7419 | testAUC_ROC 0.8065 |  testAUCpr 0.2815 
Epoch 020 | Loss 10.8061 | TrainAUC 0.8980 | testAUC_ROC 0.8862 |  testAUCpr 0.4119 
Epoch 030 | Loss 10.3156 | TrainAUC 0.9159 | testAUC_ROC 0.8996 |  testAUCpr 0.4634 
Epoch 040 | Loss 9.8175 | TrainAUC 0.9322 | testAUC_ROC 0.9080 |  testAUCpr 0.4779 
Epoch 050 | Loss 9.3458 | TrainAUC 0.9529 | testAUC_ROC 0.9194 |  testAUCpr 0.5278 
Epoch 060 | Loss 9.0820 | TrainAUC 0.9546 | testAUC_ROC 0.9134 |  testAUCpr 0.5021 
Epoch 070 | Loss 8.8635 | TrainAUC 0.9593 | testAUC_ROC 0.9166 |  testAUCpr 0.5251 
Epoch 080 | Loss 8.6598 | TrainAUC 0.9601 | testAUC_ROC 0.9196 |  testAUCpr 0.5465 
Epoch 090 | Loss 8.5054 | TrainAUC 0.9636 | testAUC_ROC 0.9241 |  testAUCpr 0.5742 
Epoch 100 | Loss 8.3524 | TrainAUC 0.9644 | testAUC_ROC 0.9243 |  testAUCpr 0.5026 
Epoch 100 - Average weights - PM:0.305, PP:0.182, PF:0.513
Epoch 110 | Loss 8.2493 | TrainAUC 0.9654 | testAUC_ROC 0.9226 |  testAUCpr 0.5520 
Epoch 120 | Loss 8.1229 | TrainAUC 0.9661 | testAUC_ROC 0.9272 |  testAUCpr 0.5840 
Epoch 130 | Loss 8.0924 | TrainAUC 0.9665 | testAUC_ROC 0.9261 |  testAUCpr 0.5807 
Epoch 140 | Loss 8.0027 | TrainAUC 0.9686 | testAUC_ROC 0.9308 |  testAUCpr 0.6057 
Epoch 150 | Loss 7.9177 | TrainAUC 0.9688 | testAUC_ROC 0.9291 |  testAUCpr 0.5957 
Epoch 160 | Loss 7.8514 | TrainAUC 0.9703 | testAUC_ROC 0.9300 |  testAUCpr 0.6016 
Epoch 170 | Loss 7.8505 | TrainAUC 0.9712 | testAUC_ROC 0.9363 |  testAUCpr 0.6362 
Epoch 180 | Loss 7.7950 | TrainAUC 0.9707 | testAUC_ROC 0.9398 |  testAUCpr 0.6628 
Epoch 190 | Loss 7.7030 | TrainAUC 0.9724 | testAUC_ROC 0.9415 |  testAUCpr 0.6701 
Epoch 200 | Loss 7.6486 | TrainAUC 0.9730 | testAUC_ROC 0.9376 |  testAUCpr 0.6537 
Epoch 200 - Average weights - PM:0.305, PP:0.182, PF:0.513
Epoch 210 | Loss 7.6113 | TrainAUC 0.9731 | testAUC_ROC 0.9415 |  testAUCpr 0.6762 
